"DateTime";"Laveste";"Højeste";"Middel"
"2020-05-01 00:00:00";1.1;14.4;8.1
"2020-05-02 00:00:00";3.2;13.9;8.5
"2020-05-03 00:00:00";2.9;15.1;8.8
"2020-05-04 00:00:00";-0.2;14.8;7.8
"2020-05-05 00:00:00";-1.8;14.8;7.9
"2020-05-06 00:00:00";-2.1;15.3;8.1
"2020-05-07 00:00:00";3.1;17.2;9.7
"2020-05-08 00:00:00";-1.1;18.7;10.2
"2020-05-09 00:00:00";4.2;19.9;11.5
"2020-05-10 00:00:00";2.3;22.6;9.7
"2020-05-11 00:00:00";-0.3;12.3;6.5
"2020-05-12 00:00:00";-1.8;12.6;6
"2020-05-13 00:00:00";-3.3;13;6.2
"2020-05-14 00:00:00";-2.6;13.3;6.8
"2020-05-15 00:00:00";2.4;14;8.7
"2020-05-16 00:00:00";4.8;14.6;9.1
"2020-05-17 00:00:00";4.3;16.9;9.8
"2020-05-18 00:00:00";2.3;14.4;9.9
"2020-05-19 00:00:00";3.9;18;11.1
"2020-05-20 00:00:00";1.7;19.1;10.9
"2020-05-21 00:00:00";2.9;21.3;12.8
"2020-05-22 00:00:00";6.3;20.1;13.4
"2020-05-23 00:00:00";7.7;18.4;12.4
"2020-05-24 00:00:00";7.3;15.7;10.9
"2020-05-25 00:00:00";6.8;19.3;12.2
"2020-05-26 00:00:00";3.7;20.1;12.2
"2020-05-27 00:00:00";4.9;18.8;12.1
"2020-05-28 00:00:00";3.9;20.5;11.6
"2020-05-29 00:00:00";-0.6;20.8;11.7
"2020-05-30 00:00:00";1.2;22.8;14.2
"2020-05-31 00:00:00";5.3;23.5;15